Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12_MULTIPLE_CHOICE,Q17,Q18,Q20,Q22,Q23,Q24,Q25,Q26,Q32,Q37,Q40,Q43,Q46,Q48
Male,1,China,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,1-2,2391,"We recently started using ML methods (i.e., models in production for less than 2 years)","Advanced statistical software (SPSS, SAS, etc.)",Python,Python,Other,Other,2,2,2,1,Numerical Data,Other,Independent projects are slightly more important than academic achievements,Other,Other,Other
Male,2,China,Master’s degree,"Information technology, networking, or system administration",Data Analyst,Computers/Technology,1-2,8778,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,randomForest,Seaborn,2,3,3,5,Text Data,Coursera,Independent projects are equally important as academic achievements,0-10,10-20,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,5,China,Doctoral degree,Mathematics or statistics,Data Scientist,Academics/Education,15-20,15705,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,TensorFlow,Matplotlib,2,6,7,5,Numerical Data,developers.google.com,Independent projects are slightly more important than academic achievements,60-70,60-70,I am confident that I can understand and explain the outputs of many but not all ML models
Male,1,China,Master’s degree,"Information technology, networking, or system administration",Student,I am a student,0-1,107,I do not know,"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,C++,TensorFlow,Other,3,3,2,0,Video Data,Online University Courses,Independent projects are slightly more important than academic achievements,10-20,10-20,I do not know; I have no opinion on the matter
Female,1,China,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,4-5,22940,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,R,Keras,Other,3,3,3,5,Other,Other,Independent projects are equally important as academic achievements,10-20,20-30,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,1,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,9147,I do not know,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Python,Python,TensorFlow,Other,3,2,2,4,Text Data,Online University Courses,Independent projects are equally important as academic achievements,0-10,30-40,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,1,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,10-15,1821,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Other,Matplotlib,2,2,2,0,Text Data,Udacity,Independent projects are much more important than academic achievements,20-30,Other,"Yes, most ML models are ""black boxes"""
Male,2,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Government/Public Service,0-1,5714,No (we do not use ML methods),"Advanced statistical software (SPSS, SAS, etc.)",Python,Python,Other,Other,1,2,2,2,Other,Other,Independent projects are slightly more important than academic achievements,30-40,10-20,I am confident that I can understand and explain the outputs of many but not all ML models
Male,2,China,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,2-3,5015,"We have well established ML methods (i.e., models in production for more than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",SQL,SQL,Xgboost,Other,3,3,5,5,Numerical Data,Kaggle Learn,Independent projects are much more important than academic achievements,10-20,30-40,I am confident that I can explain the outputs of most if not all ML models
Male,1,China,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,6728,I do not know,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",C/C++,Python,Scikit-Learn,D3,2,2,3,5,Tabular Data,Kaggle Learn,Independent projects are slightly more important than academic achievements,70-80,80-90,I am confident that I can explain the outputs of most if not all ML models
